,btc_close,btc_eth_ratio,btc_ret1d,btc_volume_log1p,eth_close,eth_ret1d,fg_fng_value,gt_bitcoin,hr_hash_rate,m2,spx_close,spx_ret1d
btc_close,1.0,-0.08384513558085759,0.008265938724880375,0.4890283980546905,0.8049913930905626,0.018750526481746188,0.32043931860983665,0.3686389105126472,0.8679858945900606,0.657766608142851,0.9374458990557986,0.009986360096844936
btc_eth_ratio,-0.08384513558085759,1.0,0.02619156387118573,0.04151465036010502,-0.5522611471139212,0.004634594456917021,0.048014922200518506,-0.2711155551212228,-0.033674497999650256,-0.6312594991258872,-0.273292737136454,0.010812830373881739
btc_ret1d,0.008265938724880375,0.02619156387118573,1.0,0.00668993446146642,-0.01193842116997719,0.8250306152184493,0.035672422238232616,-0.004805512520717315,-0.005050945546591328,-0.02112958548009076,-0.006329878139803415,0.31310268222404064
btc_volume_log1p,0.4890283980546905,0.04151465036010502,0.00668993446146642,1.0,0.37858108075942726,0.0034688943236586187,0.22305102879597738,0.6428157388524851,0.27478655656302936,0.34756172519678274,0.3786880231069777,-0.00879678541271569
eth_close,0.8049913930905626,-0.5522611471139212,-0.01193842116997719,0.37858108075942726,1.0,0.01310099061304696,0.197283293348694,0.4465899110509364,0.608883345167765,0.7790748530040664,0.8408334438484429,0.00227088055578507
eth_ret1d,0.018750526481746188,0.004634594456917021,0.8250306152184493,0.0034688943236586187,0.01310099061304696,1.0,0.05162888890788109,-0.003615447637957567,-0.008858816853259337,-0.008547414179026309,-0.00018510942430851373,0.327891019872027
fg_fng_value,0.32043931860983665,0.048014922200518506,0.035672422238232616,0.22305102879597738,0.197283293348694,0.05162888890788109,1.0,0.17510675797731756,0.24565362460707696,0.04540179953439501,0.24699522549082256,0.02778460175325795
gt_bitcoin,0.3686389105126472,-0.2711155551212228,-0.004805512520717315,0.6428157388524851,0.4465899110509364,-0.003615447637957567,0.17510675797731756,1.0,0.09088245359056434,0.39318986350958707,0.28701840728467753,-0.005041320819993361
hr_hash_rate,0.8679858945900606,-0.033674497999650256,-0.005050945546591328,0.27478655656302936,0.608883345167765,-0.008858816853259337,0.24565362460707696,0.09088245359056434,1.0,0.607439940285614,0.902279604292748,0.0046901233587803345
m2,0.657766608142851,-0.6312594991258872,-0.02112958548009076,0.34756172519678274,0.7790748530040664,-0.008547414179026309,0.04540179953439501,0.39318986350958707,0.607439940285614,1.0,0.782350785150738,-0.005677916209317824
spx_close,0.9374458990557986,-0.273292737136454,-0.006329878139803415,0.3786880231069777,0.8408334438484429,-0.00018510942430851373,0.24699522549082256,0.28701840728467753,0.902279604292748,0.782350785150738,1.0,0.01874111804274539
spx_ret1d,0.009986360096844936,0.010812830373881739,0.31310268222404064,-0.00879678541271569,0.00227088055578507,0.327891019872027,0.02778460175325795,-0.005041320819993361,0.0046901233587803345,-0.005677916209317824,0.01874111804274539,1.0
