date,btc_ret1d
2020-03-12 00:00:00+00:00,-0.4647301753397741
2022-06-13 00:00:00+00:00,-0.17405255177667023
2021-02-08 00:00:00+00:00,0.1718205618881239
2020-03-19 00:00:00+00:00,0.16710432424961397
2019-04-02 00:00:00+00:00,0.16004197976839407
2022-11-09 00:00:00+00:00,-0.15488954817014822
2019-06-27 00:00:00+00:00,-0.1518196739369877
2021-05-19 00:00:00+00:00,-0.14810707635188614
2019-10-25 00:00:00+00:00,0.14476109386093228
2021-05-12 00:00:00+00:00,-0.1429671467730369
2021-01-21 00:00:00+00:00,-0.14252813081835924
2019-07-16 00:00:00+00:00,-0.1393767055806645
2022-02-28 00:00:00+00:00,0.13576425730332176
2019-05-11 00:00:00+00:00,0.12175582015101227
2019-09-24 00:00:00+00:00,-0.12099364952146807
2019-05-19 00:00:00+00:00,0.11992989942799603
2020-04-29 00:00:00+00:00,0.11984140644428898
2021-06-21 00:00:00+00:00,-0.11952179584867828
2021-09-07 00:00:00+00:00,-0.11723249529729962
2022-05-09 00:00:00+00:00,-0.1170549632581519
