feature_1,feature_2,corr_abs_signed
btc_high,btc_close,0.9995796484702499
btc_open,btc_high,0.9995315548281865
btc_low,btc_close,0.9994757084851842
btc_open,btc_low,0.9993622469880827
btc_high,btc_low,0.9991547560837953
btc_open,btc_close,0.9990453655462049
eth_open,eth_high,0.9989906530795042
eth_high,eth_close,0.9988764732083795
eth_low,eth_close,0.9987178473693377
eth_open,eth_low,0.9982343048018073
eth_high,eth_low,0.9979242694792575
eth_open,eth_close,0.9975435940457953
btc_low,spx_close,0.9382575295299107
btc_close,spx_close,0.9374458990557986
btc_open,spx_close,0.9372765802180293
btc_high,spx_close,0.9368681091458569
btc_volume,btc_volume_log1p,0.9267857871514147
spx_close,hr_hash_rate,0.9022796042927482
btc_volume,eth_volume,0.8924503698323394
btc_low,hr_hash_rate,0.8708967182936882
btc_close,hr_hash_rate,0.8679858945900606
btc_open,hr_hash_rate,0.8677742155501316
btc_high,hr_hash_rate,0.8656100094081414
eth_low,spx_close,0.8431816421709338
eth_close,spx_close,0.8408334438484429
eth_open,spx_close,0.839906585262672
eth_high,spx_close,0.8385458554702957
btc_ret1d,eth_ret1d,0.8250306152184493
eth_volume,btc_volume_log1p,0.8235488485283171
btc_high,eth_close,0.8067249926232513
btc_high,eth_high,0.8065151753095767
btc_high,eth_low,0.8058748923854526
btc_high,eth_open,0.8052426099941695
btc_open,eth_high,0.8051350558608275
btc_open,eth_close,0.8051133577201635
btc_open,eth_low,0.8050291846266335
btc_close,eth_close,0.8049913930905626
btc_open,eth_open,0.8047349483350964
btc_close,eth_low,0.8040267833212676
btc_close,eth_high,0.8036863219881202
btc_low,eth_low,0.8035656254616649
btc_low,eth_close,0.8033470729576352
btc_close,eth_open,0.802289487330804
btc_low,eth_high,0.8022033469878139
btc_low,eth_open,0.8014784852597238
