feature,0
eth_ret1d_l3,0.031394200825340425
spx_ret1d_l2,0.02797284182175017
btc_ret20d,0.025691833527982565
hr_hash_rate_z91d,0.025344080996472885
macd_line,0.024676837614540467
macd_hist,0.02435137190995053
gt_bitcoin_z91d,0.023697690450949768
spx_ret1d_l5,0.02332773418863048
sma_50,0.023321639004543083
macd_hist_l1,0.023058353856559424
fg_fng_value_z91d,0.02256987684329644
sma_ratio_50_200,0.02240683364672559
spx_ret1d_l1,0.02229098116252375
hr_hash_rate_ma30,0.0220949565946287
rsi_14,0.02197613281486803
btc_ret1d_l3,0.021954581285356232
macd_hist_l3,0.021747828034248497
btc_ret1d,0.021735212244001968
fg_fng_value_ma30,0.02145065908743307
btc_ret1d_l1,0.021429068542140446
gt_bitcoin_z91d_l7,0.02105103019833741
sma_ratio_10_50,0.020866295540656214
fg_fng_value_z91d_l14,0.02063132731485302
rsi_14_l1,0.020438164498209083
btc_ret5d,0.020366525615965466
spx_ret1d,0.020306131907090855
rsi_14_l3,0.019934613512931416
vol_20d,0.019688097741457782
sma_200,0.019306229098402117
eth_ret1d,0.018917872393600658
btc_ret1d_l2,0.018912338530302365
eth_ret1d_l1,0.0189017842926482
sma_10,0.018805426287186656
gt_bitcoin_z91d_l28,0.018787505569990412
macd_signal,0.01780986604744981
rsi_14_l5,0.017624420102071946
vol_10d,0.017234916183253388
btc_volume_log1p,0.017198506675340494
fg_fng_value_z91d_l1,0.01715120707517932
eth_ret1d_l2,0.017136318615699447
m2_chg1d,0.01694865139687645
btc_ret1d_l5,0.016735732151790632
fg_fng_value_z91d_l7,0.01663039498325006
fg_fng_value_z91d_l3,0.016614245451200382
sma_20,0.016592952026084847
gt_bitcoin_z91d_l14,0.01604052533440358
macd_hist_l5,0.016020570169328098
btc_ret1d_l10,0.015876140970366708
gt_bitcoin_ma30,0.014979495864130653
