ds,P_xgb_only,P_price_baseline,P_hybrid,rhat_raw,rhat_cal
2025-10-10,113666.78943259506,115166.13893099355,114549.87514730202,0.010290877893567085,-0.00341904119996698
2025-10-17,114158.89317733061,115664.73389015076,115045.80208251651,0.010290877893567085,-0.00341904119996698
2025-10-24,114653.12741327465,116165.48744328017,115543.87606088365,0.010290877893567085,-0.00341904119996698
2025-10-31,115149.50136407734,116668.40893569875,116044.1063777128,0.010290877893567085,-0.00341904119996698
2025-11-07,115648.02429332129,117173.50775318265,116546.50236855607,0.010290877893567085,-0.00341904119996698
2025-11-14,116148.70550469446,117680.79332214239,117051.07340938246,0.010290877893567085,-0.00341904119996698
2025-11-21,116651.55434216376,118190.27510979875,117557.82891675281,0.010290877893567085,-0.00341904119996698
2025-11-28,117156.58019014941,118701.96262435944,118066.77834799563,0.010290877893567085,-0.00341904119996698
2025-12-05,117663.79247370012,119215.86541519657,118577.93120138353,0.010290877893567085,-0.00341904119996698
2025-12-12,118173.20065866898,119731.99307302489,119091.29701631049,0.010290877893567085,-0.00341904119996698
2025-12-19,118684.81425189009,120250.35523008068,119606.88537346994,0.010290877893567085,-0.00341904119996698
2025-12-26,119198.642801356,120770.96156030166,120124.70589503349,0.010290877893567085,-0.00341904119996698
2026-01-02,119714.69589639595,121293.82177950739,120644.76824483054,0.010290877893567085,-0.00341904119996698
