ds,P_base,lo50,hi50,lo80,hi80,lo95,hi95
2025-10-10,113666.78951563028,106890.44985195868,115588.81965437718,103770.79026837081,124086.13759594326,101740.14231647886,129622.90600885701
2025-10-17,113278.8217788799,103523.92840212921,116521.69029417,99233.7732606377,124148.9327445478,95124.73727021979,133203.9427478826
2025-10-24,112892.17825446452,100158.7020912636,115837.85079985284,95094.64874384957,125408.53338228313,90116.0923669591,135066.5456898939
2025-10-31,112506.85442257972,97662.49983547707,115148.37341337785,91495.71563306243,125700.99352749132,85520.6186446573,138826.6367889705
2025-11-07,112122.84577884802,94546.75013475885,113932.78616436501,88003.27426290906,125913.13464384124,81658.44283288851,140361.38412372847
2025-11-14,111740.14783426632,92574.01604816593,113489.29915153839,84552.68771951341,124993.49366204315,78214.0985611687,140209.42895589882
2025-11-21,111358.75611515339,90325.83451198546,112237.38519273234,82350.52645060298,125356.25201281485,74986.70130614594,142286.86140615778
2025-11-28,110978.66616309756,88162.89238268159,111279.38032792459,79763.63345144968,124962.37525002963,72159.39349148337,143319.52547682088
2025-12-05,110599.87353490468,85837.6574732497,110468.27099357948,77129.34387022136,124974.92555878844,70192.91730699019,144827.14421549678
2025-12-12,110222.37380254603,84076.48534064724,109475.04233656712,75330.97115963508,123817.797153803,67490.5860994648,143699.1182517836
2025-12-19,109846.16255310674,82007.86210186432,107630.38191977232,73451.736068218,122527.95390413982,64892.007766898605,143648.6535883233
2025-12-26,109471.23538873404,79854.30374394091,105789.9185077912,71212.32080773683,122102.94204922726,62492.68277083598,141686.4195328292
2026-01-02,109097.58792658594,77724.39305636242,105138.90301910689,68899.59082850494,121770.69564017368,60558.05298439496,141663.51211734023
2026-01-09,108725.21579878002,75827.08249847064,103924.23831341202,67218.8496062616,119968.60263831832,58349.52482704746,142609.24669669394
2026-01-16,108354.11465234225,74586.29258617977,102858.01067353332,65492.92075853184,119016.62143518866,56501.00889031252,141980.87603732568
2026-01-23,107984.28014915624,72998.29609374932,101285.34630170118,63606.23552982958,118036.21279472618,54744.61340026844,145540.47942701742
2026-01-30,107615.70796591246,71458.7457550891,99902.28862127659,61716.13817473081,117842.47983931977,53157.91974661347,143283.6149536434
2026-02-06,107248.39379405767,69723.24359009319,98973.47726242727,60440.44276968904,116931.067846946,51225.336111584984,140291.89080255706
2026-02-13,106882.33333974464,68202.13650768672,98204.86325157405,58808.0286290374,116572.50662672265,49931.75002603055,141068.27489512254
2026-02-20,106517.52232378189,66452.4533593018,96957.2566344889,57159.27880985715,116043.69485358922,48210.54828421124,143051.97096441415
2026-02-27,106153.95648158368,64794.607323038086,96465.62410019897,55482.979564166904,115634.56297843755,46024.80554427742,142019.304546831
2026-03-06,105791.63156312017,63667.83797025838,94528.46733215725,54384.90829420263,114032.4505973607,44888.86892347781,141083.9196719508
2026-03-13,105430.54333286775,62496.62372110819,93095.33176157082,52839.57729691566,113657.66248524176,43677.774770665135,141395.06140904166
2026-03-20,105070.68756975945,61018.31867959796,92125.1902408905,50948.36886301416,112951.26360559088,42544.805037981634,141576.8121323763
2026-03-27,104712.06006713572,59935.151583643456,91283.70442051496,49913.26290076109,111263.25912768177,40239.48290231321,140857.28421518262
2026-04-03,104354.65663269517,58654.57801582842,89999.27028915058,48751.929420080436,109835.55393711089,39620.446976707346,136786.08667286855
2026-04-10,103998.47308844558,57233.55934497184,88526.54025399669,47262.79809624125,108754.19242216849,38021.3219432625,135676.45156620047
2026-04-17,103643.50527065503,56122.925239818265,87622.34773915989,46048.46903031565,107611.77310896496,36964.72490769916,137273.78232607676
2026-04-24,103289.74902980331,55239.60441534921,86713.43169383123,44904.477360319324,106391.206422283,35755.69362447568,132442.6303509989
2026-05-01,102937.20023053334,53617.13510387995,85860.33857342215,43727.684035999686,106268.73683896002,35181.02454249202,134531.22097349644
2026-05-08,102585.85475160283,52477.340307375016,84706.65516931523,42682.44607537071,105938.49756352288,34462.319047338366,134843.633272601
2026-05-15,102235.70848583618,51270.070140729455,83172.50812807953,41707.75765993779,105351.48198338776,32895.60344529387,130843.93173172516
2026-05-22,101886.75734007634,50363.68745100812,82666.99064026303,41051.93060495259,102991.29428771214,32000.815819347157,133282.91363567617
2026-05-29,101538.99723513707,49608.24932836739,80832.30511756096,39795.380363882316,102173.20279186196,30649.761406451038,131545.47237978282
2026-06-05,101192.42410575521,48397.08594078267,79525.4539029737,38762.27904416603,101447.11034134973,29955.39982680942,131888.3196331021
2026-06-12,100847.03390054319,47251.32427789731,78835.34371369224,37982.95682120654,101071.07028766694,29563.321984614093,128897.09606412028
2026-06-19,100502.82258194161,46628.64200023393,77867.87459585986,37289.69462955992,99902.92536963336,27993.042971430557,128527.83913918542
2026-06-26,100159.78612617208,45376.23492477281,76596.3474442566,36437.71063803382,98680.23289051688,28053.851952046818,128672.86656079443
2026-07-03,99817.92052319022,44531.06319854219,75507.42341422047,35342.831074443435,98144.88770393915,27513.627577369767,126535.5738228936
2026-07-10,99477.22177663867,43577.13273755563,75041.55096149948,34536.101319962945,96781.56755941594,26412.220885886836,125445.87760057439
2026-07-17,99137.68590380054,42708.590385214484,73629.79343277245,33875.73585187057,95299.83389303104,26154.437946162412,124542.94504090877
2026-07-24,98799.30893555266,42028.79247730099,73388.66988020323,32617.47992867933,94778.50976422969,25140.126839732387,126125.26365475521
2026-07-31,98462.08691631934,41442.116461204976,71796.18962799033,32361.325751771266,94215.03670048973,24236.542107209574,125894.36400688515
2026-08-07,98126.01590402606,40754.02598843396,71537.912025626,31560.47132178486,92065.66977480594,23920.67112855458,123769.49223457222
2026-08-14,97791.0919700534,40003.98087514939,69344.29722429998,30671.891177843365,91710.85373931435,23339.8857810813,120471.06857417284
2026-08-21,97457.3111991911,39033.09935819151,68842.06310398133,30396.60004898902,88785.63327058128,22679.360043100554,118972.22764932908
2026-08-28,97124.6696895923,37893.89849288384,68034.16171403602,29549.047985300116,88520.64409092959,21789.88454530561,118945.67715768257
2026-09-04,96793.16355272793,37248.06021317227,67385.18681313911,28962.433391377577,86970.81313765033,21242.945499984366,116894.78860059404
2026-09-11,96462.7889133413,36242.58727162784,66220.2644067546,28068.40882611334,86523.87085465719,20729.27978741276,116678.15042068725
2026-09-18,96133.54190940272,35755.92057669417,64527.38313250296,27421.13035847425,85142.25715261178,20249.261930027278,117931.08334523668
2026-09-25,95805.41869206437,34782.82779888283,64677.03134969763,26924.27012476844,85164.73477333269,19486.30696998413,116712.37363280915
2026-10-02,95478.41542561536,34164.172724003874,63260.592786107365,26209.075523379273,83320.8413831349,19089.51048181929,112918.88197144862
